Id,MSSubClass,MSZoning,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,8450,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,856,GasA,Ex,Y,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,NA,2,548,Y,0,61,0,0,0,0,NA,NA,NA,0,2,2008,WD,Normal,208500
2,20,RL,9600,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,1262,GasA,Ex,Y,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,2,460,Y,298,0,0,0,0,0,NA,NA,NA,0,5,2007,WD,Normal,181500
3,60,RL,11250,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,920,GasA,Ex,Y,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,2,608,Y,0,42,0,0,0,0,NA,NA,NA,0,9,2008,WD,Normal,223500
4,70,RL,9550,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,TA,TA,BrkTil,756,GasA,Gd,Y,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,3,642,Y,0,35,272,0,0,0,NA,NA,NA,0,2,2006,WD,Abnorml,140000
5,60,RL,14260,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1145,GasA,Ex,Y,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,3,836,Y,192,84,0,0,0,0,NA,NA,NA,0,12,2008,WD,Normal,250000
6,50,RL,14115,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,TA,TA,Wood,796,GasA,Ex,Y,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,NA,2,480,Y,40,30,0,320,0,0,NA,MnPrv,Shed,700,10,2009,WD,Normal,143000
7,20,RL,10084,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1686,GasA,Ex,Y,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,2,636,Y,255,57,0,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,307000
8,60,RL,10382,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,1107,GasA,Ex,Y,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,2,484,Y,235,204,228,0,0,0,NA,NA,Shed,350,11,2009,WD,Normal,200000
9,50,RM,6120,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,TA,TA,BrkTil,952,GasA,Gd,Y,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,2,468,Y,90,0,205,0,0,0,NA,NA,NA,0,4,2008,WD,Abnorml,129900
10,190,RL,7420,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,991,GasA,Ex,Y,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,1,205,Y,0,4,0,0,0,0,NA,NA,NA,0,1,2008,WD,Normal,118000
11,20,RL,11200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,1040,GasA,Ex,Y,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,NA,1,384,Y,0,0,0,0,0,0,NA,NA,NA,0,2,2008,WD,Normal,129500
12,60,RL,11924,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Ex,TA,PConc,1175,GasA,Ex,Y,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,Gd,3,736,Y,147,21,0,0,0,0,NA,NA,NA,0,7,2006,New,Partial,345000
13,20,RL,12968,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,TA,TA,CBlock,912,GasA,TA,Y,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,NA,1,352,Y,140,0,0,0,176,0,NA,NA,NA,0,9,2008,WD,Normal,144000
14,20,RL,10652,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1494,GasA,Ex,Y,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Gd,3,840,Y,160,33,0,0,0,0,NA,NA,NA,0,8,2007,New,Partial,279500
15,20,RL,10920,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,TA,TA,CBlock,1253,GasA,TA,Y,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Fa,1,352,Y,0,213,176,0,0,0,NA,GdWo,NA,0,5,2008,WD,Normal,157000
16,45,RM,6120,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,832,GasA,Ex,Y,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,NA,2,576,Y,48,112,0,0,0,0,NA,GdPrv,NA,0,7,2007,WD,Normal,132000
17,20,RL,11241,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,1004,GasA,Ex,Y,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,TA,2,480,Y,0,0,0,0,0,0,NA,NA,Shed,700,3,2010,WD,Normal,149000
18,90,RL,10791,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,TA,TA,Slab,0,GasA,TA,Y,1296,0,0,1296,0,0,2,0,2,2,TA,6,Typ,0,NA,2,516,Y,0,0,0,0,0,0,NA,NA,Shed,500,10,2006,WD,Normal,90000
19,20,RL,13695,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,1114,GasA,Ex,Y,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,NA,2,576,Y,0,102,0,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,159000
20,20,RL,7560,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,TA,TA,CBlock,1029,GasA,TA,Y,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,NA,1,294,Y,0,0,0,0,0,0,NA,MnPrv,NA,0,5,2009,COD,Abnorml,139000
21,60,RL,14215,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1158,GasA,Ex,Y,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,Gd,3,853,Y,240,154,0,0,0,0,NA,NA,NA,0,11,2006,New,Partial,325300
22,45,RM,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,637,GasA,Ex,Y,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,Gd,1,280,N,0,0,205,0,0,0,NA,GdPrv,NA,0,6,2007,WD,Normal,139400
23,20,RL,9742,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1777,GasA,Ex,Y,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,Gd,2,534,Y,171,159,0,0,0,0,NA,NA,NA,0,9,2008,WD,Normal,230000
24,120,RM,4224,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,TA,TA,PConc,1040,GasA,TA,Y,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,TA,2,572,Y,100,110,0,0,0,0,NA,NA,NA,0,6,2007,WD,Normal,129900
25,20,RL,8246,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,TA,Gd,CBlock,1060,GasA,Ex,Y,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,TA,1,270,Y,406,90,0,0,0,0,NA,MnPrv,NA,0,5,2010,WD,Normal,154000
26,20,RL,14230,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1566,GasA,Ex,Y,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,Gd,3,890,Y,0,56,0,0,0,0,NA,NA,NA,0,7,2009,WD,Normal,256300
27,20,RL,7200,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,900,GasA,TA,Y,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,NA,2,576,Y,222,32,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal,134800
28,20,RL,11478,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1704,GasA,Ex,Y,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Gd,3,772,Y,0,50,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal,306000
29,20,RL,16321,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,1484,GasA,TA,Y,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,Gd,1,319,Y,288,258,0,0,0,0,NA,NA,NA,0,12,2006,WD,Normal,207500
30,30,RM,6324,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,520,GasA,Fa,N,520,0,0,520,0,0,1,0,1,1,Fa,4,Typ,0,NA,1,240,Y,49,0,87,0,0,0,NA,NA,NA,0,5,2008,WD,Normal,68500
31,70,C (all),8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,TA,Fa,BrkTil,649,GasA,TA,N,649,668,0,1317,0,0,1,0,3,1,TA,6,Typ,0,NA,1,250,N,0,54,172,0,0,0,NA,MnPrv,NA,0,7,2008,WD,Normal,40000
